# record,      epoch,      desig, name
90001199,       2012,       242P, Spahr
90001200,       2010,       243P, NEAT
90001201,       2014,       244P, Scotti
90001202,       2009,       245P, WISE
90001203,       2013,       246P, NEAT
90001204,       2011,       247P, LINEAR
90001205,       2010,       248P, Gibbs
90001206,       2014,       249P, LINEAR
90001207,       2013,       250P, Larson
90001208,       2006,       251P, LINEAR
90001209,       2016,       252P, LINEAR
90001210,       2016,       252P, LINEAR
90001211,       2011,       253P, PANSTARRS
90001212,       2020,       254P, McNaught
90001213,       2007,       255P, Levy
90001214,       2015,       256P, LINEAR
90001215,       2014,       257P, Catalina
90001216,       2016,       258P, PANSTARRS
90001217,       2011,       259P, Garradd
90001218,       2014,       260P, McNaught
90001219,       2014,       261P, Larson
90001220,       2011,       262P, McNaught-Russell
90001221,       2018,       263P, Gibbs
90001222,       2005,       264P, Larsen
90001223,       2003,       265P, LINEAR
90001224,       2008,       266P, Christensen
90001225,       2017,       266P, Christensen
90001226,       2007,       267P, LONEOS
90001227,       2007,       268P, Bernardi
90001228,       2009,       269P, Jedicke
90001229,       2008,       270P, Gehrels
90001230,       2012,       271P, van Houten-Lemmon
90001231,       2010,       272P, NEAT
90001232,       2013,       273P, Pons-Gambart
90001233,       2015,       274P, Tombaugh-Tenagra
90001234,       2004,       275P, Hermann
90001235,       2019,       276P, Vorobjov
90001236,       2016,       277P, LINEAR
90001237,       2015,       278P, McNaught
90001238,       2012,       279P, La Sagra
90001239,       2009,       280P, Larsen
90001240,       2011,       281P, MOSS
90001241,       2012,       283P, Spacewatch
90001242,       2010,       284P, McNaught
90001243,       2018,       284P, McNaught
90001244,       2020,       285P, LINEAR
90001245,       2018,       286P, Christensen
90001246,       2015,       287P, Christensen
90001247,       2005,       289P, Blanpain
90001248,       2019,       289P, Blanpain
90001249,       2010,       290P, Jager
90001250,       2012,       291P, NEAT
90001251,       2009,       292P, Li
90001252,       2014,       293P, Spacewatch
90001253,       2010,       294P, LINEAR
90001254,       2008,       295P, LINEAR
90001255,       2014,       296P, Garradd
90001256,       2009,       297P, Beshore
90001257,       2007,       298P, Christensen
90001258,       2018,       299P, Catalina-PANSTARRS
90001259,       2007,       300P, Catalina
90001260,       2018,       300P, Catalina
90001261,       2003,       301P, LINEAR-NEAT
90001262,       2017,       302P, Lemmon-PANSTARRS
90001263,       2009,       303P, NEAT
90001264,       2011,       304P, Ory
90001265,       2011,       305P, Skiff
90001266,       2005,       306P, LINEAR
90001267,       2013,       307P, LINEAR
90001268,       2007,       308P, Lagerkvist-Carsenty
90001269,       2011,       309P, LINEAR
90001270,       2016,       310P, Hill
90001271,       2017,       311P, PANSTARRS
90001272,       2017,       312P, NEAT
90001273,       2015,       313P, Gibbs
90001274,       2011,       314P, Montani
90001275,       2012,       315P, LONEOS
90001276,       2006,       316P, LONEOS-Christensen
90001277,       2013,       317P, WISE
90001278,       2012,       318P, McNaught-Hartley
90001279,       2013,       319P, Catalina-McNaught
90001280,       2011,       320P, McNaught
90001281,       2005,       321P, SOHO
90001282,       2015,       322P, SOHO
90001283,       2006,       323P, SOHO
90001284,       2010,       323P, SOHO
90001285,       2021,       323P, SOHO
90001288,       2012,       324P, La Sagra
90001289,       2012,       325P, Yang-Gao
90001290,       2017,       326P, Hill
90001291,       2020,       327P, Van Ness
90001292,       2007,       328P, LONEOS-Tucker
90001293,       2013,       329P, LINEAR-Catalina
90001294,       2011,       330P, Catalina
90001295,       2013,       331P, Gibbs
90001296,       2010,       332P, Ikeya-Murakami
90001306,       2015,       333P, LINEAR
90001307,       2010,       334P, NEAT
90001308,       2010,       335P, Gibbs
90001309,       2008,       336P, McNaught
90001310,       2018,       337P, WISE
90001311,       2013,       338P, McNaught
90001312,       2010,       339P, Gibbs
90001313,       2010,       340P, Boattini
90001314,       2012,       341P, Gibbs
90001315,       2016,       342P, SOHO
90001316,       2013,       343P, NEAT-LONEOS
90001317,       2010,       344P, Read
90001318,       2014,       345P, LINEAR
90001319,       2011,       346P, Catalina
90001320,       2019,       347P, PANSTARRS
90001321,       2018,       348P, PANSTARRS
90001322,       2017,       349P, Lemmon
90001323,       2011,       350P, McNaught
90001324,       2015,       351P, Wiegert-PANSTARRS
90001325,       2012,       352P, Skiff
90001326,       2012,       353P, McNaught
90001327,       2014,       354P, LINEAR
90001328,       2011,       355P, LINEAR-NEAT
90001329,       2017,       356P, WISE
90001330,       2009,       357P, Hill
90001331,       2022,       358P, PANSTARRS
90001332,       2015,       359P, LONEOS
90001333,       2014,       360P, WISE
90001334,       2017,       361P, Spacewatch
90001335,       2014,       363P, Lemmon
90001336,       2020,       364P, PANSTARRS
90001337,       2017,       365P, PANSTARRS
90001338,       2010,       366P, Spacewatch
90001339,       2012,       367P, Catalina
90001340,       2012,       368P, NEAT
90001341,       2015,       369P, Hill
90001342,       2006,       370P, NEAT
90001343,       2008,       371P, LINEAR-Skiff
90001344,       2009,       372P, McNaught
90001345,       2014,       373P, Rinner
90001346,       2011,       374P, Larson
90001347,       2015,       375P, Hill
90001348,       2011,       376P, LONEOS
90001349,       2014,       377P, Scotti
90001350,       2020,       378P, McNaught
90001351,       2012,       379P, Spacewatch
90001352,       2018,       380P, PANSTARRS
90001353,       2015,       381P, LINEAR-Spacewatch
90001354,       2015,       382P, Larson
90001355,       2008,       383P, Christensen
90001356,       2018,       384P, Kowalski
90001357,       2012,       385P, Hill
90001358,       2015,       386P, PANSTARRS
90001359,       2015,       387P, Boattini
90001360,       2014,       388P, Gibbs
90001361,       2013,       389P, Siding Spring
90001362,       2016,       390P, Gibbs
90001363,       2008,       391P, Kowalski
90001364,       2007,       392P, LINEAR
90001365,       2011,       393P, Spacewatch-Hill
90001366,       2017,       394P, PANSTARRS
90001367,       2022,       395P, Catalina-NEAT
90001368,       2018,       396P, Leonard
90001369,       2017,       397P, Lemmon
90001370,       2009,       398P, Boattini
90001371,       2020,       398P, Boattini
90001372,       2017,       399P, PANSTARRS
90001373,       2020,       400P, PANSTARRS
90001374,       2008,       401P, McNaught
90001375,       2013,       402P, LINEAR
90001376,       2015,       403P, CATALINA
90001377,       2021,       404P, Bressi
90001378,       2017,       405P, Lemmon
90001379,       2009,       406P, Gibbs
90001380,       2019,       407P, PANSTARRS-Fuls
90001381,       2020,       408P, Novichonok-Gerke
90001382,       2014,       409P, LONEOS-Hill
90001383,       2021,       410P, NEAT-LINEAR
90001384,       2013,       411P, Christensen
90001385,       2013,       412P, WISE
90001386,       2017,       413P, Larson
90001387,       2021,       414P, STEREO
90001388,       2018,       415P, Tenagra
90001389,       2015,       416P, Scotti
90001390,       2019,       417P, NEOWISE
90001391,       2012,       418P, LINEAR
90001392,       2017,       419P, PANSTARRS
90001393,       2014,       420P, Hill
90001394,       2010,       421P, McNaught
90001395,       2013,       422P, Christensen
90001396,       2020,       423P, Lemmon
90001397,       2016,       424P, La Sagra
90001398,       2017,       425P, Kowalski
90001399,       2019,       426P, PANSTARRS
90001400,       2017,       427P, ATLAS
90001401,       2017,       428P, Gibbs
90001402,       2010,       429P, LINEAR-Hill
90001403,       2014,       430P, Scotti
90001404,       2017,       431P, Scotti
90001405,       2020,       432P, PANSTARRS
90001406,       2018,       434P, Tenagra
90001407,       2018,       435P, PANSTARRS
90001408,       2011,       436P, Garradd
90001409,       2017,       437P, Lemmon-PANSTARRS
90001410,       2007,       438P, Christensen
90001411,       2010,       439P, LINEAR
90001412,       2014,       440P, Kobayashi
90001413,       2018,       441P, PANSTARRS
90001414,       2018,       442P, McNaught
90001415,       2021,       443P, PANSTARRS-Christensen
90001416,       2021,       444P, WISE-PANSTARRS
90001417,       2018,       445P, Lemmon-PANSTARRS
90001418,       2014,       446P, McNaught
90001419,       2017,       447P, Sheppard-Tholen
90001420,       2019,       448P, PANSTARRS
90001421,       2020,       449P, Leonard
90001422,       2015,       450P, LONEOS
90001423,       2010,       451P, Christensen
90001424,       2016,       452P, Sheppard-Jewitt
90001425,       2022,       453P, WISE-Lemmon
90001426,       2021,       454P, PANSTARRS
90001427,       2017,       455P, PANSTARRS
90001428,       2021,       456P, PANSTARRS
90001429,       2020,       457P, Lemmon-PANSTARRS
90001430,       2020,       458P, Jahn
90001431,       2018,       459P, Catalina
90001432,       2016,       460P, PANSTARRS
90001433,       2020,       461P, WISE
90001434,       2020,       462P, LONEOS-PANSTARRS
90001435,       2021,       463P, NEOWISE
90001436,       2022,       464P, PANSTARRS
90001437,       2011,       465P, Hill
90001438,       2021,       466P, PANSTARRS
90001439,       2012,       467P, LINEAR-Grauer
90001440,       2017,       468P, Siding Spring
90001441,       2015,       469P, PANSTARRS
90001442,       2021,       470P, PANSTARRS
90001443,       2023,       471P, [...unnamed...]
90001444,       2007,       472P, NEAT-LINEAR
90001445,       2007,       473P, NEAT
90001446,       2021,       474P, Hogan
90001447,       2011,       475P, Spacewatch-LINEAR
90001448,       2018,       476P, PANSTARRS
90001449,       2019,       477P, PANSTARRS
90001450,       2023,       478P, ATLAS
90001451,       2022,       479P, Elenin
90001452,       2018,       480P, PANSTARRS
90001453,       2015,       481P, Lemmon-PANSTARRS
90001454,       2022,       482P, PANSTARRS
90001457,        240,   C/240 V1, [...unnamed...]
90001458,        390,   C/390 Q1, [...unnamed...]
90001459,        400,   C/400 F1, [...unnamed...]
90001460,        418,   C/418 M1, [...unnamed...]
90001461,        442,   C/442 V1, [...unnamed...]
90001462,        539,   C/539 W1, [...unnamed...]
90001463,        565,   C/565 O1, [...unnamed...]
90001464,        568,   C/568 O1, [...unnamed...]
90001465,        574,   C/574 G1, [...unnamed...]
90001466,        770,   C/770 K1, [...unnamed...]
90001467,        817,   C/817 C1, [...unnamed...]
90001468,        868,   C/868 B1, [...unnamed...]
90001469,        905,   C/905 K1, [...unnamed...]
90001470,        961,   C/962 B1, [...unnamed...]
90001471,       1014,  C/1014 C1, [...unnamed...]
90001472,       1018,  C/1018 P1, [...unnamed...]
90001473,       1080,  C/1080 P1, [...unnamed...]
90001474,       1092,  C/1092 A1, [...unnamed...]
90001475,       1097,  C/1097 T1, [...unnamed...]
90001476,       1110,  C/1110 K1, [...unnamed...]
90001477,       1132,  C/1132 T1, [...unnamed...]
90001478,       1147,  C/1147 A1, [...unnamed...]
90001479,       1230,  C/1230 X1, [...unnamed...]
90001480,       1240,  C/1240 B1, [...unnamed...]
90001481,       1245,  C/1245 D1, [...unnamed...]
90001482,       1264,  C/1264 N1, [...unnamed...]
90001483,       1293,  C/1293 V1, [...unnamed...]
90001484,       1299,  C/1299 B1, [...unnamed...]
90001485,       1304,  C/1304 C1, [...unnamed...]
90001486,       1305,  C/1304 Y1, [...unnamed...]
90001487,       1315,  C/1315 U1, [...unnamed...]
90001488,       1337,  C/1337 M1, [...unnamed...]
90001489,       1340,  C/1340 F1, [...unnamed...]
90001490,       1345,  C/1345 O1, [...unnamed...]
90001491,       1351,  C/1351 W1, [...unnamed...]
90001492,       1362,  C/1362 E1, [...unnamed...]
90001493,       1368,  C/1368 E1, [...unnamed...]
90001494,       1376,  C/1376 M1, [...unnamed...]
90001495,       1402,  C/1402 D1, [...unnamed...]
90001496,       1433,  C/1433 R1, [...unnamed...]
90001497,       1439,  C/1439 F1, [...unnamed...]
90001498,       1449,  C/1449 Y1, [...unnamed...]
90001499,       1457,  C/1457 L1, [...unnamed...]
90001500,       1458,  C/1458 Y1, [...unnamed...]
90001501,       1462,  C/1462 M1, [...unnamed...]
90001502,       1468,  C/1468 S1, [...unnamed...]
90001503,       1472,  C/1471 Y1, [...unnamed...]
90001504,       1490,  C/1490 Y1, [...unnamed...]
90001505,       1499,  C/1499 Q1, [...unnamed...]
90001506,       1500,  C/1500 H1, [...unnamed...]
90001507,       1506,  C/1506 O1, [...unnamed...]
90001508,       1532,  C/1532 R1, [...unnamed...]
90001509,       1533,  C/1533 M1, [...unnamed...]
90001510,       1537,  C/1538 A1, [...unnamed...]
90001511,       1539,  C/1539 H1, [...unnamed...]
90001512,       1556,  C/1556 D1, [...unnamed...]
90001513,       1557,  C/1557 T1, [...unnamed...]
90001514,       1558,  C/1558 P1, [...unnamed...]
90001515,       1558,  C/1558 P1, [...unnamed...]
90001516,       1577,  C/1577 V1, [...unnamed...]
90001517,       1580,  C/1580 T1, [...unnamed...]
90001518,       1582,  C/1582 J1, [...unnamed...]
90001519,       1585,  C/1585 T1, [...unnamed...]
90001520,       1590,  C/1590 E1, [...unnamed...]
90001521,       1593,  C/1593 O1, [...unnamed...]
90001522,       1596,  C/1596 N1, [...unnamed...]
90001523,       1618,  C/1618 Q1, [...unnamed...]
90001524,       1618,  C/1618 V1, [...unnamed...]
90001525,       1618,  C/1618 W1, [...unnamed...]
90001526,       1639,  C/1639 U1, [...unnamed...]
90001527,       1652,  C/1652 Y1, [...unnamed...]
90001528,       1661,  C/1661 C1, [...unnamed...]
90001529,       1664,  C/1664 W1, [...unnamed...]
90001530,       1665,  C/1665 F1, [...unnamed...]
90001531,       1668,  C/1668 E1, [...unnamed...]
90001532,       1672,  C/1672 E1, [...unnamed...]
90001533,       1677,  C/1677 H1, [...unnamed...]
90001534,       1680,  C/1680 V1, [...unnamed...]
90001535,       1683,  C/1683 O1, [...unnamed...]
90001536,       1684,  C/1684 N1, [...unnamed...]
90001537,       1686,  C/1686 R1, [...unnamed...]
90001538,       1689,  C/1689 X1, [...unnamed...]
90001539,       1695,  C/1695 U1, [...unnamed...]
90001540,       1698,  C/1698 R1, [...unnamed...]
90001541,       1699,  C/1699 D1, [...unnamed...]
90001542,       1701,  C/1701 U1, [...unnamed...]
90001543,       1702,  C/1702 H1, [...unnamed...]
90001544,       1706,  C/1706 F1, [...unnamed...]
90001545,       1707,  C/1707 W1, [...unnamed...]
90001546,       1718,  C/1718 B1, [...unnamed...]
90001547,       1723,  C/1723 T1, [...unnamed...]
90001548,       1729,  C/1729 P1, [...unnamed...]
90001549,       1733,  C/1733 K1, [...unnamed...]
90001550,       1737,  C/1737 C1, [...unnamed...]
90001551,       1739,  C/1739 K1, [...unnamed...]
90001552,       1742,  C/1742 C1, [...unnamed...]
90001553,       1743,  C/1743 C1, [...unnamed...]
90001554,       1743,  C/1743 Q1, [...unnamed...]
90001555,       1744,  C/1743 X1, [...unnamed...]
90001556,       1747,  C/1746 P1, [...unnamed...]
90001557,       1748,  C/1748 H1, [...unnamed...]
90001558,       1748,  C/1748 K1, [...unnamed...]
90001559,       1750,  C/1750 C1, [...unnamed...]
90001560,       1757,  C/1757 R1, [...unnamed...]
90001561,       1758,  C/1758 K1, [...unnamed...]
90001562,       1759,  C/1760 A1, Great comet
90001563,       1759,  C/1760 B1, Messier
90001564,       1762,  C/1762 K1, Klinkenberg
90001565,       1763,  C/1763 S1, Messier
90001566,       1764,  C/1764 A1, Messier
90001567,       1766,  C/1766 E1, Messier
90001568,       1766,  D/1766 G1, Helfenzrieder
90001569,       1769,  C/1769 P1, Messier
90001570,       1770,  D/1770 L1, Lexell
90001571,       1770,  C/1771 A1, Great comet
90001572,       1771,  C/1771 G1, Messier
90001573,       1773,  C/1773 T1, Messier
90001574,       1774,  C/1774 P1, Montaigne
90001575,       1779,  C/1779 A1, Bode
90001576,       1780,  C/1780 U1, Montaigne-Olbers
90001577,       1780,  C/1780 U2, Messier
90001578,       1781,  C/1781 M1, Mechain
90001579,       1781,  C/1781 T1, Mechain
90001580,       1784,  C/1783 X1, Great comet
90001581,       1785,  C/1785 A1, Messier-Mechain
90001582,       1785,  C/1785 E1, Mechain
90001583,       1786,  C/1786 P1, Herschel
90001584,       1787,  C/1787 G1, Mechain
90001585,       1788,  C/1788 W1, Messier
90001586,       1790,  C/1790 A1, Herschel
90001587,       1790,  C/1790 H1, Herschel
90001588,       1792,  C/1791 X1, Herschel
90001589,       1792,  C/1793 A1, Gregory
90001590,       1793,  C/1793 S1, Perny
90001591,       1793,  C/1793 S2, Messier
90001592,       1796,  C/1796 F1, Olbers
90001593,       1797,  C/1797 P1, Bouvard-Herschel
90001594,       1798,  C/1798 G1, Messier
90001595,       1799,  C/1798 X1, Bouvard
90001596,       1799,  C/1799 P1, Mechain
90001597,       1799,  C/1799 Y1, Mechain
90001598,       1801,  C/1801 N1, Pons
90001599,       1802,  C/1802 Q1, Pons
90001600,       1804,  C/1804 E1, Pons
90001601,       1806,  C/1806 V1, Pons
90001602,       1807,  C/1807 R1, Great comet
90001603,       1808,  C/1808 F1, Pons
90001604,       1808,  C/1808 M1, Pons
90001605,       1808,  C/1808 R1, PONS
90001606,       1810,  C/1810 Q1, Pons
90001607,       1811,  C/1811 F1, Great comet
90001608,       1811,  C/1811 W1, Pons
90001609,       1813,  C/1813 C1, Pons
90001610,       1813,  C/1813 G1, Pons
90001611,       1816,  C/1816 B1, Pons
90001612,       1818,  C/1817 Y1, Pons
90001613,       1818,  C/1818 W2, Pons
90001614,       1819,  C/1819 N1, Great comet
90001615,       1821,  C/1821 B1, Nicollet-Pons
90001616,       1822,  C/1822 J1, Gambart
90001617,       1822,  C/1822 K1, Pons
90001618,       1822,  C/1822 N1, Pons
90001619,       1824,  C/1823 Y1, Great comet
90001620,       1824,  C/1824 N1, Rumker
90001621,       1824,  C/1824 O1, Scheithauer
90001622,       1825,  C/1825 K1, Gambart
90001623,       1825,  C/1825 N1, Pons
90001624,       1825,  C/1825 P1, Pons
90001625,       1826,  C/1825 V1, Pons
90001626,       1826,  C/1826 P1, Pons
90001627,       1826,  C/1826 U1, Pons
90001628,       1827,  C/1826 Y1, Pons
90001629,       1827,  C/1827 P1, Pons
90001630,       1830,  C/1830 F1, Great comet
90001631,       1830,  C/1831 A1, Great comet
90001632,       1832,  C/1832 O1, Gambart
90001633,       1833,  C/1833 S1, Dunlop
90001634,       1834,  C/1834 E1, Gambart
90001635,       1835,  C/1835 H1, Boguslawski
90001636,       1840,  C/1839 X1, Galle
90001637,       1840,  C/1840 B1, Galle
90001638,       1840,  C/1840 E1, Galle
90001639,       1840,  C/1840 U1, Bremiker
90001640,       1842,  C/1842 U1, Laugier
90001641,       1843,  C/1843 D1, Great March comet
90001642,       1843,  C/1843 J1, Mauvais
90001643,       1844,  C/1844 N1, Mauvais
90001644,       1844,  C/1844 Y1, Great comet
90001645,       1845,  C/1844 Y2, d'Arrest
90001646,       1845,  C/1845 D1, de Vico
90001647,       1845,  C/1845 L1, Great June comet
90001648,       1846,  C/1846 B1, de Vico
90001649,       1846,  C/1846 J1, Brorsen
90001650,       1846,  C/1846 O1, de Vico-Hind
90001651,       1846,  C/1846 S1, de Vico
90001652,       1847,  C/1847 C1, Hind
90001653,       1847,  C/1847 J1, Colla
90001654,       1847,  C/1847 N1, Mauvais
90001655,       1847,  C/1847 Q1, Schweizer
90001656,       1847,  C/1847 T1, Mitchell
90001657,       1848,  C/1848 P1, Petersen
90001658,       1849,  C/1848 U1, Petersen
90001659,       1849,  C/1849 G1, Schweizer
90001660,       1849,  C/1849 G2, Goujon
90001661,       1850,  C/1850 J1, Petersen
90001662,       1850,  C/1850 Q1, Bond
90001663,       1851,  C/1851 P1, Brorsen
90001664,       1851,  C/1851 U1, Brorsen
90001665,       1852,  C/1852 K1, Chacornac
90001666,       1853,  C/1853 E1, Secchi
90001667,       1853,  C/1853 G1, Schweizer
90001668,       1853,  C/1853 L1, Klinkerfues
90001669,       1853,  C/1853 R1, Bruhns
90001670,       1854,  C/1853 W1, van Arsdale
90001671,       1854,  C/1854 F1, Great comet
90001672,       1854,  C/1854 L1, Klinkerfues
90001673,       1854,  C/1854 R1, Klinkerfues
90001674,       1854,  C/1854 Y1, Winnecke-Dien
90001675,       1855,  C/1855 G1, Schweizer
90001676,       1855,  C/1855 L1, Donati
90001677,       1855,  C/1855 V1, Bruhns
90001678,       1857,  C/1857 D1, d'Arrest
90001679,       1857,  C/1857 M1, Klinkerfues
90001680,       1857,  C/1857 O1, Peters
90001681,       1857,  C/1857 Q1, Klinkerfues
90001682,       1857,  C/1857 V1, Donati-van Arsdale
90001683,       1858,  C/1858 K1, Bruhns
90001684,       1858,  C/1858 L1, Donati
90001685,       1858,  C/1858 R1, Tuttle
90001686,       1859,  C/1859 G1, Tempel
90001689,       1860,  C/1860 H1, Rumker
90001690,       1860,  C/1860 M1, Great comet
90001691,       1860,  C/1860 U1, Tempel
90001692,       1861,  C/1861 G1, Thatcher
90001693,       1861,  C/1861 G1, Thatcher
90001694,       1861,  C/1861 J1, Great comet
90001695,       1861,  C/1861 Y1, Tuttle
90001696,       1862,  C/1862 N1, Schmidt
90001697,       1862,  C/1862 W1, Respighi
90001698,       1863,  C/1862 X1, Bruhns
90001699,       1863,  C/1863 G1, Klinkerfues
90001700,       1863,  C/1863 G2, Respighi
90001701,       1864,  C/1863 T1, Baeker
90001702,       1863,  C/1863 V1, Tempel
90001703,       1864,  C/1863 Y1, Respighi
90001704,       1864,  C/1864 N1, Tempel
90001705,       1864,  C/1864 O1, Donati-Toussaint
90001706,       1864,  C/1864 R1, Donati
90001707,       1864,  C/1864 X1, Baeker
90001708,       1865,  C/1864 Y1, Bruhns
90001709,       1865,  C/1865 B1, Great southern comet
90001710,       1867,  C/1867 S1, Baeker-Winnecke
90001711,       1868,  C/1868 L1, Winnecke
90001712,       1869,  C/1869 T1, Tempel
90001713,       1870,  C/1870 K1, Winnecke
90001714,       1870,  C/1870 Q1, Coggia
90001715,       1870,  C/1870 W1, Winnecke
90001716,       1871,  C/1871 G1, Winnecke
90001717,       1871,  C/1871 L1, Tempel
90001718,       1872,  C/1871 V1, Tempel
90001719,       1873,  C/1873 Q1, Borrelly
90001720,       1873,  C/1873 Q2, Henry
90001721,       1874,  C/1874 D1, Winnecke
90001722,       1874,  C/1874 G1, Winnecke
90001723,       1874,  C/1874 H1, Coggia
90001724,       1874,  C/1874 O1, Borrelly
90001725,       1874,  C/1874 Q1, Coggia
90001726,       1874,  C/1874 X1, Borrelly
90001727,       1877,  C/1877 C1, Borrelly
90001728,       1877,  C/1877 G1, Winnecke
90001729,       1877,  C/1877 G2, Swift
90001730,       1877,  C/1877 R1, Coggia
90001731,       1877,  C/1877 T1, Tempel
90001732,       1878,  C/1878 N1, Swift
90001733,       1879,  C/1879 M1, Swift
90001734,       1879,  C/1879 Q1, Palisa
90001735,       1879,  C/1879 Q2, Hartwig
90001736,       1880,  C/1880 C1, Great southern comet
90001737,       1880,  C/1880 G1, Schaeberle
90001738,       1880,  C/1880 S1, Hartwig
90001739,       1881,  C/1880 Y1, Pechule
90001740,       1881,  C/1881 J1, Swift
90001741,       1881,  C/1881 K1, Great comet
90001742,       1881,  C/1881 N1, Schaeberle
90001743,       1881,  C/1881 S1, Barnard
90001744,       1881,  C/1881 W1, Swift
90001745,       1882,  C/1882 F1, Wells
90001750,       1882,  C/1882 R2, Barnard
90001751,       1883,  C/1883 D1, Brooks-Swift
90001752,       1883,  C/1884 A1, Ross
90001753,       1884,  D/1884 O1, Barnard
90001754,       1885,  C/1885 N1, Barnard
90001755,       1885,  C/1885 R1, Brooks
90001756,       1886,  C/1885 X1, Fabry
90001757,       1886,  C/1885 X2, Barnard
90001758,       1886,  C/1885 Y1, Brooks
90001759,       1886,  C/1886 H1, Brooks
90001760,       1886,  C/1886 J1, Brooks
90001761,       1886,  D/1886 K1, Brooks
90001762,       1886,  C/1886 T1, Barnard-Hartwig
90001763,       1887,  C/1887 B1, Great southern comet
90001764,       1887,  C/1887 B2, Brooks
90001765,       1887,  C/1887 B3, Barnard
90001766,       1887,  C/1887 D1, Barnard
90001767,       1887,  C/1887 J1, Barnard
90001768,       1888,  C/1888 D1, Sawerthal
90001769,       1888,  C/1888 P1, Brooks
90001770,       1889,  C/1888 R1, Barnard
90001771,       1888,  C/1888 U1, Barnard
90001772,       1889,  C/1889 G1, Barnard
90001773,       1889,  C/1889 O1, Davidson
90001774,       1890,  C/1889 X1, Borrelly
90001775,       1890,  C/1890 F1, Brooks
90001776,       1890,  C/1890 O1, Coggia
90001777,       1890,  C/1890 O2, Denning
90001778,       1890,  C/1890 V1, Zona
90001779,       1891,  C/1891 F1, Barnard-Denning
90001780,       1891,  C/1891 T1, Barnard
90001781,       1892,  C/1892 E1, Swift
90001782,       1892,  C/1892 F1, Denning
90001783,       1893,  C/1892 Q1, Brooks
90001784,       1893,  C/1892 W1, Brooks
90001785,       1893,  C/1893 N1, Rordame-Quenisset
90001786,       1893,  C/1893 U1, Brooks
90001787,       1894,  D/1894 F1, Denning
90001788,       1894,  C/1894 G1, Gale
90001789,       1895,  D/1895 Q1, Swift
90001790,       1896,  C/1895 W1, Perrine
90001791,       1895,  C/1895 W2, Brooks
90001792,       1896,  C/1896 C1, Perrine-Lamp
90001793,       1896,  C/1896 G1, Swift
90001794,       1896,  C/1896 R1, Sperra
90001795,       1897,  C/1896 V1, Perrine
90001796,       1897,  C/1897 U1, Perrine
90001797,       1898,  C/1898 F1, Perrine
90001798,       1898,  C/1898 L1, Coddington-Pauly
90001799,       1898,  C/1898 L2, Perrine
90001800,       1898,  C/1898 M1, Giacobini
90001801,       1898,  C/1898 R1, Perrine-Chofardet
90001802,       1898,  C/1898 U1, Brooks
90001803,       1899,  C/1898 V1, Chase
90001804,       1899,  C/1899 E1, Swift
90001805,       1899,  C/1899 S1, Giacobini
90001806,       1900,  C/1900 B1, Giacobini
90001807,       1900,  C/1900 O1, Borrelly-Brooks
90001808,       1901,  C/1901 G1, Great comet
90001809,       1902,  C/1902 G1, Brooks
90001810,       1902,  C/1902 R1, Perrine
90001811,       1903,  C/1902 X1, Giacobini
90001812,       1903,  C/1903 A1, Giacobini
90001813,       1903,  C/1903 H1, Grigg
90001814,       1903,  C/1903 M1, Borrelly
90001815,       1904,  C/1904 H1, Brooks
90001816,       1904,  C/1904 Y1, Giacobini
90001817,       1905,  C/1905 F1, Giacobini
90001818,       1905,  C/1905 W1, Schaer
90001819,       1906,  C/1905 X1, Giacobini
90001820,       1906,  C/1906 B1, Brooks
90001821,       1906,  C/1906 E1, Kopff
90001822,       1906,  C/1906 F1, Ross
90001823,       1906,  C/1906 V1, Thiele
90001824,       1907,  C/1907 E1, Giacobini
90001825,       1907,  C/1907 G1, Grigg-Mellish
90001826,       1907,  C/1907 L2, Daniel
90001827,       1907,  C/1907 T1, Mellish
90001828,       1908,  C/1908 R1, Morehouse
90001829,       1909,  C/1909 L1, Borrelly-Daniel
90001830,       1910,  C/1910 A1, Great January comet
90001831,       1910,  C/1910 P1, Metcalf
90001832,       1911,  C/1911 N1, Kiess
90001833,       1911,  C/1911 O1, Brooks
90001834,       1911,  C/1911 S2, Quenisset
90001835,       1911,  C/1911 S3, Beljawsky
90001836,       1912,  C/1912 R1, Gale
90001837,       1912,  C/1912 V1, Borrelly
90001838,       1913,  C/1913 J1, Schaumasse
90001839,       1913,  C/1913 R1, Metcalf
90001840,       1914,  C/1913 Y1, Delavan
90001841,       1914,  C/1914 F1, Kritzinger
90001842,       1914,  C/1914 J1, Zlatinsky
90001843,       1914,  C/1914 M1, Neujmin
90001844,       1914,  C/1914 S1, Campbell
90001845,       1915,  C/1915 C1, Mellish
90001846,       1915,  C/1915 R1, Mellish
90001847,       1917,  C/1916 G1, Wolf
90001848,       1917,  C/1917 F1, Mellish
90001849,       1917,  C/1917 H1, Schaumasse
90001850,       1918,  C/1918 L1, Reid
90001851,       1918,  D/1918 W1, Schorr
90001852,       1919,  C/1919 Q2, Metcalf
90001853,       1920,  C/1919 Y1, Skjellerup
90001854,       1921,  C/1920 X1, Skjellerup
90001855,       1921,  C/1921 E1, Reid
90001856,       1921,  C/1921 H1, Dubiago
90001857,       1921,  C/1922 B1, Reid
90001858,       1922,  C/1922 U1, Baade
90001859,       1923,  C/1922 W1, Skjellerup
90001860,       1923,  C/1923 T1, Dubiago-Bernard
90001861,       1924,  C/1924 F1, Reid
90001862,       1924,  C/1924 R1, Finsler
